Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
390.000000	0.000798333	390.000000	0.000912712	390.000000	0.000904835	390.000000	0.000903279	390.000000	0.000912487	390.000000	2.24798e-07	
400.000000	0.000788409	400.000000	0.000901427	400.000000	0.000893568	400.000000	0.000892044	400.000000	0.000901207	400.000000	2.19572e-07	
410.000000	0.000778961	410.000000	0.000890698	410.000000	0.000882877	410.000000	0.000881368	410.000000	0.000890483	410.000000	2.14591e-07	
420.000000	0.000769957	420.000000	0.000880487	420.000000	0.000872745	420.000000	0.000871213	420.000000	0.000880277	420.000000	2.09839e-07	
430.000000	0.000761367	430.000000	0.000870758	430.000000	0.000863102	430.000000	0.000861543	430.000000	0.000870553	430.000000	2.05299e-07	
440.000000	0.000753164	440.000000	0.00086148	440.000000	0.000853878	440.000000	0.000852325	440.000000	0.000861279	440.000000	2.00959e-07	
450.000000	0.000745324	450.000000	0.000852624	450.000000	0.000845058	450.000000	0.000843531	450.000000	0.000852427	450.000000	1.96804e-07	
460.000000	0.000737825	460.000000	0.000844162	460.000000	0.000836639	460.000000	0.000835133	460.000000	0.00084397	460.000000	1.92822e-07	
470.000000	0.000730645	470.000000	0.000836071	470.000000	0.000828597	470.000000	0.000827106	470.000000	0.000835882	470.000000	1.89005e-07	
480.000000	0.000723765	480.000000	0.000828328	480.000000	0.000820899	480.000000	0.000819428	480.000000	0.000828143	480.000000	1.8534e-07	
490.000000	0.000717169	490.000000	0.000820912	490.000000	0.000813526	490.000000	0.000812077	490.000000	0.00082073	490.000000	1.81819e-07	
500.000000	0.00071084	500.000000	0.000813804	500.000000	0.000806474	500.000000	0.000805035	500.000000	0.000813626	500.000000	1.78434e-07	
520.000000	0.000698925	520.000000	0.000800443	520.000000	0.000793279	520.000000	0.000791805	520.000000	0.000800271	520.000000	1.72041e-07	
540.000000	0.000687912	540.000000	0.000788119	540.000000	0.000781089	540.000000	0.000779611	540.000000	0.000787953	540.000000	1.66104e-07	
560.000000	0.000677711	560.000000	0.000776725	560.000000	0.000769786	560.000000	0.000768344	560.000000	0.000776565	560.000000	1.60576e-07	
580.000000	0.00066824	580.000000	0.000766167	580.000000	0.000759328	580.000000	0.000757908	580.000000	0.000766011	580.000000	1.55415e-07	
600.000000	0.000659432	600.000000	0.000756363	600.000000	0.000749613	600.000000	0.000748221	600.000000	0.000756212	600.000000	1.50586e-07	
620.000000	0.000651225	620.000000	0.000747242	620.000000	0.000740587	620.000000	0.000739212	620.000000	0.000747096	620.000000	1.46057e-07	
640.000000	0.000643566	640.000000	0.000738742	640.000000	0.000732215	640.000000	0.000730817	640.000000	0.0007386 	640.000000	1.41802e-07	
660.000000	0.000636407	660.000000	0.000730807	660.000000	0.000724397	660.000000	0.00072298	660.000000	0.00073067	660.000000	1.37795e-07	
680.000000	0.000629707	680.000000	0.000723391	680.000000	0.000717055	680.000000	0.000715653	680.000000	0.000723256	680.000000	1.34015e-07	
700.000000	0.000623428	700.000000	0.000716448	700.000000	0.000710171	700.000000	0.000708792	700.000000	0.000716317	700.000000	1.30444e-07	
720.000000	0.000617537	720.000000	0.00070994	720.000000	0.000703722	720.000000	0.000702359	720.000000	0.000709813	720.000000	1.27064e-07	
740.000000	0.000612005	740.000000	0.000703834	740.000000	0.000697665	740.000000	0.000696317	740.000000	0.00070371	740.000000	1.2386e-07	
760.000000	0.000606804	760.000000	0.000698097	760.000000	0.000691964	760.000000	0.000690637	760.000000	0.000697977	760.000000	1.20819e-07	
780.000000	0.00060191	780.000000	0.000692704	780.000000	0.000686606	780.000000	0.000685289	780.000000	0.000692586	780.000000	1.17928e-07	
800.000000	0.000597303	800.000000	0.000687627	800.000000	0.000681576	800.000000	0.00068025	800.000000	0.000687512	800.000000	1.15177e-07	
820.000000	0.000592961	820.000000	0.000682845	820.000000	0.000676841	820.000000	0.000675496	820.000000	0.000682733	820.000000	1.12555e-07	
840.000000	0.000588867	840.000000	0.000678337	840.000000	0.000672362	840.000000	0.000671007	840.000000	0.000678227	840.000000	1.10054e-07	
860.000000	0.000585005	860.000000	0.000674085	860.000000	0.000668112	860.000000	0.000666764	860.000000	0.000673977	860.000000	1.07665e-07	
880.000000	0.000581359	880.000000	0.000670071	880.000000	0.000664083	880.000000	0.000662749	880.000000	0.000669966	880.000000	1.0538e-07	
900.000000	0.000577917	900.000000	0.00066628	900.000000	0.000660267	900.000000	0.000658948	900.000000	0.000666177	900.000000	1.03194e-07	
920.000000	0.000574665	920.000000	0.000662698	920.000000	0.000656653	920.000000	0.000655346	920.000000	0.000662596	920.000000	1.01099e-07	
940.000000	0.000571592	940.000000	0.000659311	940.000000	0.000653228	940.000000	0.000651929	940.000000	0.000659212	940.000000	9.90904e-08	
960.000000	0.000568688	960.000000	0.000656108	960.000000	0.000649979	960.000000	0.000648687	960.000000	0.000656011	960.000000	9.71625e-08	
980.000000	0.000565943	980.000000	0.000653077	980.000000	0.000646893	980.000000	0.000645608	980.000000	0.000652982	980.000000	9.53105e-08	
1000.000000	0.000563348	1000.000000	0.00065021	1000.000000	0.00064396	1000.000000	0.000642682	1000.000000	0.000650116	1000.000000	9.353e-08 	
1020.000000	0.000560894	1020.000000	0.000647495	1020.000000	0.000641169	1020.000000	0.0006399 	1020.000000	0.000647403	1020.000000	9.18169e-08	
1040.000000	0.000558574	1040.000000	0.000644925	1040.000000	0.000638511	1040.000000	0.000637253	1040.000000	0.000644835	1040.000000	9.01674e-08	
1060.000000	0.000556382	1060.000000	0.000642491	1060.000000	0.000635981	1060.000000	0.000634734	1060.000000	0.000642403	1060.000000	8.85779e-08	
1080.000000	0.000554309	1080.000000	0.000640187	1080.000000	0.000633573	1080.000000	0.000632334	1080.000000	0.0006401 	1080.000000	8.70453e-08	
1100.000000	0.000552351	1100.000000	0.000638005	1100.000000	0.000631282	1100.000000	0.000630047	1100.000000	0.000637919	1100.000000	8.55664e-08	
1120.000000	0.0005505 	1120.000000	0.000635938	1120.000000	0.000629104	1120.000000	0.000627868	1120.000000	0.000635854	1120.000000	8.41385e-08	
1140.000000	0.000548753	1140.000000	0.000633981	1140.000000	0.000627033	1140.000000	0.000625789	1140.000000	0.000633899	1140.000000	8.2759e-08	
1160.000000	0.000547104	1160.000000	0.000632129	1160.000000	0.000625059	1160.000000	0.000623805	1160.000000	0.000632048	1160.000000	8.14254e-08	
1180.000000	0.000545548	1180.000000	0.000630376	1180.000000	0.000623174	1180.000000	0.000621912	1180.000000	0.000630295	1180.000000	8.01355e-08	
1200.000000	0.000544081	1200.000000	0.000628716	1200.000000	0.000621371	1200.000000	0.000620104	1200.000000	0.000628637	1200.000000	7.8887e-08	
1220.000000	0.0005427 	1220.000000	0.000627147	1220.000000	0.000619645	1220.000000	0.000618377	1220.000000	0.000627069	1220.000000	7.76781e-08	
1240.000000	0.000541399	1240.000000	0.000625662	1240.000000	0.000617992	1240.000000	0.000616727	1240.000000	0.000625586	1240.000000	7.65068e-08	
1260.000000	0.000540175	1260.000000	0.00062426	1260.000000	0.00061641	1260.000000	0.00061515	1260.000000	0.000624184	1260.000000	7.53714e-08	
1280.000000	0.000539026	1280.000000	0.000622934	1280.000000	0.000614895	1280.000000	0.000613643	1280.000000	0.00062286	1280.000000	7.42703e-08	
1300.000000	0.000537948	1300.000000	0.000621683	1300.000000	0.000613447	1300.000000	0.000612202	1300.000000	0.00062161	1300.000000	7.32019e-08	
1320.000000	0.000536937	1320.000000	0.000620503	1320.000000	0.000612062	1320.000000	0.000610823	1320.000000	0.000620431	1320.000000	7.21648e-08	
