Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
290.000000	0.000789885	290.000000	0.000770013	290.000000	0.000760851	290.000000	0.000760192	290.000000	0.000769792	290.000000	2.21781e-07	
300.000000	0.000775111	300.000000	0.000755882	300.000000	0.000746829	300.000000	0.000746138	300.000000	0.000755667	300.000000	2.14943e-07	
310.000000	0.000761253	310.000000	0.000742648	310.000000	0.00073372	310.000000	0.000732983	310.000000	0.00074244	310.000000	2.08529e-07	
320.000000	0.000748227	320.000000	0.00073023	320.000000	0.000721369	320.000000	0.000720648	320.000000	0.000730028	320.000000	2.025e-07 	
330.000000	0.000735962	330.000000	0.000718557	330.000000	0.000709759	330.000000	0.000709058	330.000000	0.00071836	330.000000	1.96822e-07	
340.000000	0.000724395	340.000000	0.000707564	340.000000	0.000698842	340.000000	0.000698152	340.000000	0.000707373	340.000000	1.91464e-07	
350.000000	0.000713467	350.000000	0.000697196	350.000000	0.00068855	350.000000	0.000687872	350.000000	0.000697009	350.000000	1.86401e-07	
360.000000	0.000703128	360.000000	0.000687401	360.000000	0.000678833	360.000000	0.000678167	360.000000	0.00068722	360.000000	1.81607e-07	
370.000000	0.000693333	370.000000	0.000678136	370.000000	0.000669649	370.000000	0.000668993	370.000000	0.000677959	370.000000	1.77063e-07	
380.000000	0.000684041	380.000000	0.000669359	380.000000	0.000660954	380.000000	0.000660309	380.000000	0.000669186	380.000000	1.72748e-07	
390.000000	0.000675215	390.000000	0.000661034	390.000000	0.000652713	390.000000	0.000652077	390.000000	0.000660865	390.000000	1.68646e-07	
400.000000	0.000666822	400.000000	0.000653128	400.000000	0.000644892	400.000000	0.000644266	400.000000	0.000652963	400.000000	1.64741e-07	
410.000000	0.000658831	410.000000	0.000645611	410.000000	0.000637463	410.000000	0.000636846	410.000000	0.00064545	410.000000	1.61019e-07	
420.000000	0.000651215	420.000000	0.000638458	420.000000	0.000630399	420.000000	0.000629788	420.000000	0.0006383 	420.000000	1.57467e-07	
430.000000	0.00064395	430.000000	0.000631642	430.000000	0.00062367	430.000000	0.000623068	430.000000	0.000631488	430.000000	1.54073e-07	
440.000000	0.000637012	440.000000	0.000625142	440.000000	0.000617252	440.000000	0.000616665	440.000000	0.000624991	440.000000	1.50828e-07	
450.000000	0.000630381	450.000000	0.000618937	450.000000	0.000611138	450.000000	0.000610557	450.000000	0.000618789	450.000000	1.47722e-07	
460.000000	0.000624038	460.000000	0.000613009	460.000000	0.000605323	460.000000	0.000604725	460.000000	0.000612864	460.000000	1.44745e-07	
470.000000	0.000617965	470.000000	0.00060734	470.000000	0.000599779	470.000000	0.000599152	470.000000	0.000607198	470.000000	1.41891e-07	
480.000000	0.000612147	480.000000	0.000601915	480.000000	0.000594465	480.000000	0.000593823	480.000000	0.000601776	480.000000	1.3915e-07	
490.000000	0.000606568	490.000000	0.000596719	490.000000	0.00058936	490.000000	0.000588723	490.000000	0.000596583	490.000000	1.36517e-07	
